Region,LINK (Pagina Facebook),LINK (Pagina Oficial)
Amazonas,https://www.facebook.com/Diresamazonasoficial/,http://www.regionamazonas.gob.pe/ 
Ancash,https://www.facebook.com/diresancash/,https://www.diresancash.gob.pe/
Apurimac,https://www.facebook.com/DiresaApurimac/,http://www.diresaapurimac.gob.pe/
Arequipa,https://www.facebook.com/GerenciaSaludArequipa/,http://www.saludarequipa.gob.pe/
Cajamarca,https://www.facebook.com/diresacajamarcaoficial/,http://www.diresacajamarca.gob.pe/
Callao,https://www.facebook.com/DiresaCallaoOficial/,https://www.diresacallao.gob.pe/
Cusco,https://www.facebook.com/DiresaCuscoOficial/,http://www.diresacusco.gob.pe/
Huancavelica,https://www.facebook.com/diresahuancavelica/,http://www.diresahuancavelica.gob.pe/
Huanuco,https://www.facebook.com/diresa.hco/,http://www.diresahuanuco.gob.pe/ 
Ica,https://www.facebook.com/diresaica/,https://www.diresaica.gob.pe/
Junin,https://www.facebook.com/Diresa.Junin.Oficial/,https://www.diresajunin.gob.pe/
La Libertad,https://www.facebook.com/GeresaLaLibertad/,https://www.diresalalibertad.gob.pe/
Lambayeque,https://www.facebook.com/GERESALAMB/,https://www.regionlambayeque.gob.pe/
Lima,https://www.facebook.com/diresalimaoficial/,https://www.diresalima.gob.pe/ 
Loreto,https://www.facebook.com/DiresaLoreto.ImagenInstitucional/,http://www.diresaloreto.gob.pe/
Madre de Dios,https://www.facebook.com/diresamadrededios.gob.pe/,https://www.diresamdd.gob.pe/
Monquegua,https://www.facebook.com/moquegua.geresa/,http://www.saludmoquegua.gob.pe/
Pasco,https://www.facebook.com/DiresaPasco063/,http://www.diresapasco.gob.pe/
Piura,https://www.facebook.com/DireccionRegionalDeSaludPiura/,https://www.diresapiura.gob.pe/
Puno,https://www.facebook.com/DiresaPunoOficial/,https://www.diresapuno.gob.pe/ 
San Martin,https://www.facebook.com/Direcci%C3%B3n-Regional-de-Salud-San-Mart%C3%ADn-395542320557445/,https://www.diressanmartin.gob.pe/
Tacna,https://www.facebook.com/drstacna/,http://www.diresatacna.gob.pe/
Tumbes,https://www.facebook.com/GobTumbesDiresa/,http://www.diresatumbes.gob.pe/
Ucayali,https://www.facebook.com/DiresaUcayali2020/,http://www.diresaucayali.gob.pe/
